Tm,G,Rush,RushYds,Avg,Rush/G,Y/G,TD,1stD,Lng
Florida,13,483,1659,3.4,37.2,127.6,19,89,60
Buffalo,12,425,1643,3.9,35.4,136.9,17,85,48
Fresno St.,12,423,1642,3.9,35.3,136.8,14,90,64
Penn St.,12,392,1621,4.1,32.7,135.1,15,80,75
Hawaii,13,425,1611,3.8,32.7,123.9,15,77,95
East Carolina,12,404,1600,4,33.7,133.3,19,86,45
BYU,12,388,1597,4.1,32.3,133.1,28,85,70
Kent St.,12,447,1593,3.6,37.3,132.8,6,83,75
Oklahoma St.,12,430,1586,3.7,35.8,132.2,25,83,75
Purdue,12,417,1576,3.8,34.8,131.3,22,85,68
Miami (OH),12,428,1556,3.6,35.7,129.7,7,75,77
Illinois,12,388,1551,4,32.3,129.3,13,83,78
Connecticut,12,444,1495,3.4,37,124.6,14,83,90
Miami (FL),12,394,1434,3.6,32.8,119.5,20,75,41
Troy,12,381,1429,3.8,31.8,119.1,14,75,92
Tulane,12,397,1389,3.5,33.1,115.8,11,68,85
Missouri,12,397,1385,3.5,33.1,115.4,5,76,72
Kansas,12,444,1355,3.1,37,112.9,10,76,43
LA Monroe,13,425,1338,3.1,32.7,102.9,7,65,85
Florida Intl.,12,385,1319,3.4,32.1,109.9,15,85,36
Wake Forest,12,417,1262,3,34.8,105.2,12,74,70
Georgia St.,12,387,1237,3.2,32.3,103.1,15,69,39
Cent. Michigan,12,392,1213,3.1,32.7,101.1,16,70,45
UCF,12,356,975,2.7,29.7,81.3,4,59,51
Washington St.,12,269,959,3.6,22.4,79.9,8,69,41
